medcodeid	cleansedreadcode	term	ethnicity
250228011	1347.00	indian origin	1
1968141000006119	9t09.00	asian/asian british:pakistani- eng+wales eth cat 2011 census	1
141361000000114	9i8..00	pakistani or british pakistani - ethnic category 2001 census	1
285955015	9S7..00	pakistani	1
1565441000006111	EMISNQPA32	pakistani	1
1968311000006115	9t17.00	asian/asian british: pakistani - ni ethnic cat 2011 census	1
196721000006111	134M.00	race: pakistani	1
1968481000006118	9t27.00	asian: pakistani/pakistani scot/pakistani brit- scot 2011	1
1564291000006119	EMISNQBA5	bangladeshi	1
1968501000006111	9t29.00	bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011	1
196631000006117	134I.00	race: bangladeshi	1
285956019	9S8..00	bangladeshi	1
1968321000006111	9t18.00	asian/asian british: bangladeshi - ni ethnic cat 2011 census	1
937541000006115	9i9..00	bangladeshi or british bangladeshi - ethn categ 2001 census	1
1968151000006117	9t0A.00	asian/asian brit: bangladeshi- eng+wales eth cat 2011 census	1
286020010	9T1E.00	other asian	1
405069018	9SA6.00	e afric asian/indo-carib (nmo)	1
141541000000115	9iA3.00	east african asian - ethnic category 2001 census	1
141521000000110	9iA1.00	punjabi - ethnic category 2001 census	1
141571000000114	9iA7.00	caribbean asian - ethnic category 2001 census	1
250243013	134K.00	race: west indian	1
1968341000006116	9t1A.00	asian/asian british: other asian - ni ethnic cat 2011 census	1
141381000000117	9iA..00	other asian background - ethnic category 2001 census	1
937651000006117	9iAA.00	other asian or asian unspecified ethnic category 2001 census	1
411584018	9SA6.12	indo-caribbean (nmo)	1
411583012	9SA6.11	east african asian (nmo)	1
136081000000111	9iA4.00	sri lankan - ethnic category 2001 census	1
1968171000006110	9t0C.00	asian/asian brit: other asian- eng+wales eth cat 2011 census	1
141531000000112	9iA2.00	kashmiri - ethnic category 2001 census	1
141511000000116	9iA9.00	mixed asian - ethnic category 2001 census	1
250231012	134A.00	west indian origin	1
285977016	9SA8.00	other asian (nmo)	1
459784018	9SH..00	other asian ethnic group	1
141551000000117	9iA5.00	tamil - ethnic category 2001 census	1
157301000000116	9iA6.00	sinhalese - ethnic category 2001 census	1
285976013	9SA7.00	indian sub-continent (nmo)	1
1968521000006118	9t2B.00	asian: other asian group - scotland ethnic cat 2011 census	1
250224013	1343.00	asian origin	1
141561000000119	9iA8.00	british asian - ethnic category 2001 census	1
412016016	2263.11	o/e - asian origin	1
1968361000006117	9t1C.00	black/afri/carib/black brit: caribbean- ni eth cat 2011 cens	1
1968551000006110	9t2E.00	carib/black: caribbean/carib scot/carib brit- scotland 2011	1
154401000000118	9iB..00	caribbean - ethnic category 2001 census	1
5516681000006114	^ESCTBL551668	black caribbean/west india/guyana	1
514611000006111	9S2..00	black caribbean	1
1968191000006111	9t0E.00	black/african/caribbn/black brit: caribbean - eng+wales 2011	1
1564491000006115	EMISNQCE3	central african	1
1968181000006113	9t0D.00	black/african/carib/black brit: african- eng+wales 2011 cens	1
285943014	9S44.00	black - other african country	1
285971015	9SA5.00	other african countries (nmo)	1
4917081000006119	^ESCTCE491708	central african republic	1
141391000000115	9iC..00	african - ethnic category 2001 census	1
1968351000006119	9t1B.00	black/afri/carib/black brit: african- ni eth cat 2011 census	1
250223019	1342.00	african origin	1
1968531000006115	9t2C.00	african: african/african scot/african brit - scotland 2011	1
1565711000006118	EMISNQSO9	south african	1
1968541000006113	9t2D.00	african: any other african - scotland ethnic cat 2011 census	1
30683015	9S3..00	black african	1
453110019	9S42.13	black guyana	1
459782019	9SG..00	other black ethnic group	1
411574019	9S43.12	black arab	1
158351000000119	9iD..00	other black background - ethnic category 2001 census	1
411580010	9SA3.13	guyana (nmo)	1
411578016	9SA3.11	caribbean island (nmo)	1
285948017	9S46.00	black indian sub-continent	1
285950013	9S48.00	black black - other	1
196601000006113	134H.00	race: afro-caribbean	1
285932018	9S41.00	black british	1
453109012	9S42.12	black west indian	1
411573013	9S43.11	black north african	1
285931013	9S4..00	black, other, non-mixed origin	1
141591000000113	9iD0.00	somali - ethnic category 2001 census	1
405067016	9SA3.00	caribbean i./w.i./guyana (nmo)	1
937731000006115	9iD4.00	other black or black unspecified ethnic category 2001 census	1
141601000000119	9iD1.00	nigerian - ethnic category 2001 census	1
405064011	9S42.00	black caribbean/w.i./guyana	1
1968571000006117	9t2G.00	carib/black: any other black/caribbean grp - scotland 2011	1
158371000000111	9iD3.00	mixed black - ethnic category 2001 census	1
285951012	9S5..00	black - other, mixed	1
285949013	9S47.00	black - other asian	1
405065012	9S43.00	black n african/arab/iranian	1
514651000006112	9S45.00	black e afric asia/indo-caribb	1
285930014	9S42.11	black caribbean	1
411576017	9S45.11	black east african asian	1
459730016	ESCTBL5	black - ethnic group	1
411577014	9S45.12	black indo-caribbean	1
411575018	9S43.13	black iranian	1
157311000000119	9iD2.00	black british - ethnic category 2001 census	1
411579012	9SA3.12	west indian (nmo)	1
141401000000117	9iE..00	chinese - ethnic category 2001 census	1
1968161000006115	9t0B.00	asian/asian brit: chinese - eng+wales ethnic cat 2011 census	1
1968331000006114	9t19.00	asian/asian british: chinese - ni ethnic cat 2011 census	1
1968511000006114	9t2A.00	asian: chinese - scotland ethnic category 2011 census	1
56590016	9S9..00	chinese	1
1968581000006119	9t2H.00	other ethnic grp: arab/arab scot/arab british- scotland 2011	1
1968211000006112	9t0G.00	other ethnic group: arab - eng+wales ethnic cat 2011 census	1
4740241000006117	^ESCTBR474024	british ethnic minority specified (nmo)	1
411581014	9SA4.11	north african arab (nmo)	1
141631000000113	9iF1.00	japanese - ethnic category 2001 census	1
1968591000006116	9t2J.00	other ethnic grp: any other ethnic grp- scotland 2011 census	1
138261000000114	9iFD.00	iranian - ethnic category 2001 census	1
286022019	9T1Z.00	new zealand ethnic group nos	1
286018012	9T1B.00	south east asian	1
937871000006114	9iFB.00	mid east (excl israeli, iranian & arab) - eth cat 2001 cens	1
141411000000115	9iF..00	other - ethnic category 2001 census	1
456650013	9SC..00	vietnamese	1
286017019	9T1A.00	other pacific ethnic group	1
138241000000113	9iF6.00	jewish - ethnic category 2001 census	1
142901000000119	9iFK.00	any other group - ethnic category 2001 census	1
285959014	9SA1.00	brit. ethnic minor. spec.(nmo)	1
1968221000006116	9t0H.00	other ethnic: any other grp - eng+wales eth cat 2011 census	1
142881000000117	9iF4.00	buddhist - ethnic category 2001 census	1
141651000000118	9iF3.00	malaysian - ethnic category 2001 census	1
1968391000006113	9t1F.00	other ethnic group: any other grp- ni ethnic cat 2011 census	1
937941000006111	9iFJ.00	mauritian/seychellois/maldivian/st helena eth cat 2001census	1
1968381000006110	9t1E.00	other ethnic group: arab - ni ethnic category 2011 census	1
405068014	9SA4.00	n african arab/iranian (nmo)	1
138271000000119	9iFH.00	south and central american - ethnic category 2001 census	1
285988010	9SAD.00	other ethnic nec (nmo)	1
141641000000116	9iF2.00	filipino - ethnic category 2001 census	1
142841000000113	9iFE.00	kurdish - ethnic category 2001 census	1
138251000000111	9iF9.00	arab - ethnic category 2001 census	1
4740261000006118	^ESCTBR474026	british ethnic minority unspecified (nmo)	1
142811000000112	9iFA.00	north african - ethnic category 2001 census	1
142851000000111	9iFF.00	moroccan - ethnic category 2001 census	1
411582019	9SA4.12	iranian (nmo)	1
142891000000115	9iF8.00	sikh - ethnic category 2001 census	1
142861000000114	9iFG.00	latin american - ethnic category 2001 census	1
141621000000111	9iF0.00	vietnamese - ethnic category 2001 census	1
142831000000116	9iFC.00	israeli - ethnic category 2001 census	1
138281000000117	9iF7.00	muslim - ethnic category 2001 census	1
286021014	9T1Y.00	other new zealand ethnic group	1
285958018	9SA..00	other ethnic non-mixed (nmo)	1
459785017	9SJ..00	other ethnic group	1
